Date,Vocher No,Cheque no,Type,Debit,Credit,Balance
2/2/2021,28414393,110,REC,500000,0,138152.13
2/2/2021,2021020,0,NSE,556349.39,0,-361847.87
2/2/2021,205193,0,JV,6,0,-918197.26
2/1/2021,2021019,0,NSE,0,6244.99,-918203.26
2/1/2021,28377361,210326255,REC,0,500000,-911958.27
29/01/2021,2021018,0,NSE,0,22527.12,-411958.27
28/01/2021,2021017,0,NSE,0,11840.24,-389431.15
27/01/2021,2021016,0,NSE,300351.89,0,-377590.91
27/01/2021,204441,0,JV,2,0,-677942.8
25/01/2021,2021015,0,NSE,829237.03,0,-677944.8
25/01/2021,204244,0,JV,6,0,-1507181.83
25/01/2021,28243843,210250659,REC,0,300000,-1507187.83
22/01/2021,2021014,0,NSE,0,7187.83,-1207187.83
22/01/2021,28202196,210228603,REC,0,100000,-1200000
22/01/2021,28201972,210218274,REC,0,500000,-1100000
21/01/2021,28178037,210217880,REC,0,100000,-600000
21/01/2021,28177950,210217821,REC,0,200000,-500000
21/01/2021,28178024,210217863,REC,0,100000,-300000
20/01/2021,28143380,210206908,REC,0,200000,-200000
